21 Mar 2023 - 13:33:56.518 [restartedMain] INFO  c.t.TravelBookingSystemApplication - Starting TravelBookingSystemApplication using Java 17.0.4.1 with PID 13184 (D:\Javaclasses\Travel-booking-System\target\classes started by VAISHALI in D:\Javaclasses\Travel-booking-System)
21 Mar 2023 - 13:33:56.619 [restartedMain] INFO  c.t.TravelBookingSystemApplication - No active profile set, falling back to 1 default profile: "default"
21 Mar 2023 - 13:33:56.750 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
21 Mar 2023 - 13:33:56.751 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
21 Mar 2023 - 13:33:59.326 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21 Mar 2023 - 13:33:59.424 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 80 ms. Found 5 JPA repository interfaces.
21 Mar 2023 - 13:34:00.233 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21 Mar 2023 - 13:34:00.252 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21 Mar 2023 - 13:34:00.253 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
21 Mar 2023 - 13:34:00.355 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21 Mar 2023 - 13:34:00.356 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3601 ms
21 Mar 2023 - 13:34:00.641 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21 Mar 2023 - 13:34:00.722 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
21 Mar 2023 - 13:34:01.194 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21 Mar 2023 - 13:34:01.858 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2f9340e0
21 Mar 2023 - 13:34:01.862 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21 Mar 2023 - 13:34:01.892 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
21 Mar 2023 - 13:34:01.895 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
21 Mar 2023 - 13:34:03.525 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
21 Mar 2023 - 13:34:03.540 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
